perturbation_type,intensity,mean_oov_rate
casing,0.05,0.17554205207105486
casing,0.1,0.17584328063617655
casing,0.2,0.17603522139586109
elongation,0.05,0.24110683113613351
elongation,0.1,0.27161486559116443
elongation,0.2,0.3422813362701862
slang,0.05,0.18816612588486573
slang,0.1,0.18858687007774314
slang,0.2,0.1884621420754826
typo,0.05,0.33946880715071526
typo,0.1,0.4481777026626874
typo,0.2,0.6001447667313986
umlaut,0.05,0.20170698028261683
umlaut,0.1,0.20156065357543054
umlaut,0.2,0.20177181613384856
