perturbation_type,intensity,seed,macro_f1
casing,0.05,42,0.7439901912902455
casing,0.05,123,0.7420746826916003
casing,0.05,67,0.7429983667084543
casing,0.1,42,0.7113868496984241
casing,0.1,123,0.7138930604984683
casing,0.1,67,0.7099501439088798
casing,0.2,42,0.6635126042568236
casing,0.2,123,0.6412160165484634
casing,0.2,67,0.6540856533325234
elongation,0.05,42,0.774083822579936
elongation,0.05,123,0.7705975909951679
elongation,0.05,67,0.7687211977256025
elongation,0.1,42,0.7737137224838463
elongation,0.1,123,0.7734745053293733
elongation,0.1,67,0.7711423462528382
elongation,0.2,42,0.7664490906554636
elongation,0.2,123,0.7600687563802317
elongation,0.2,67,0.7636436118194994
slang,0.05,42,0.7812781480814268
slang,0.05,123,0.7720017794436399
slang,0.05,67,0.773637155855362
slang,0.1,42,0.7829900057360668
slang,0.1,123,0.7716076984871243
slang,0.1,67,0.7755350332884723
slang,0.2,42,0.7832665285534137
slang,0.2,123,0.7716076984871243
slang,0.2,67,0.774033950354005
typo,0.05,42,0.7334236843460402
typo,0.05,123,0.736828028132729
typo,0.05,67,0.7341013389127661
typo,0.1,42,0.694366777480764
typo,0.1,123,0.7025576977249692
typo,0.1,67,0.6981674781564731
typo,0.2,42,0.6330012503068676
typo,0.2,123,0.5896748664883774
typo,0.2,67,0.6243114482808285
umlaut,0.05,42,0.7659309976524966
umlaut,0.05,123,0.7654164597551081
umlaut,0.05,67,0.7626676575349653
umlaut,0.1,42,0.7639599377186905
umlaut,0.1,123,0.7638294266104173
umlaut,0.1,67,0.7602188782796326
umlaut,0.2,42,0.7678163448138193
umlaut,0.2,123,0.7646426839632459
umlaut,0.2,67,0.7640224441220416
